,,"LMP Bus Model Update - October 8, 2008",,


Busses Added,,,,

Pnode ID,Tx Zone,Substation,Voltage,Equipment
61482277,PN,CENTRALC,115 KV,SHAFERWF,71856693,PN,CENTRALC,34.5 KV,SHAFERWF
50848,AE,CUMB AE,138 KV,CUMBCT,71856713,AE,CUMB AE,13.8 KV,CUMBCT
50851,AE,DEEPWATE,138 KV,UNIT01,71856715,AE,DEEPWATE,13.2 KV,UNIT01
50865,AE,PEDRICKT,230 KV,PCLP,71856717,AE,PEDRICKT,13.8 KV,PCLP
32419363,AEP,PSEGGLOB,345 KV,5,71856747,AEP,PSEGGLOB,22 KV,5
32419365,AEP,PSEGGLOB,345 KV,6,71856741,AEP,PSEGGLOB,18 KV,6
32419367,AEP,PSEGGLOB,345 KV,7,71856743,AEP,PSEGGLOB,18 KV,7
32419369,AEP,PSEGGLOB,345 KV,8,71856745,AEP,PSEGGLOB,18 KV,8
34887795,DOM,FOURRIVR,115 KV,NUG1,71856761,DOM,FOURRIVR,18 KV,NUG1
34887827,DOM,SPRUANCE,230 KV,NUG1,71856771,DOM,SPRUANCE,13.8 KV,NUG1
34887829,DOM,SPRUANCE,230 KV,NUG2,71856773,DOM,SPRUANCE,13.8 KV,NUG2
34887869,DOM,BIRCHWD,230 KV,NUG,71856775,DOM,BIRCHWD,18 KV,NUG
34887803,DOM,HURT,115 KV,NUG,71856763,DOM,HURT,13.8 KV,G12
50866,AE,SHERMAN,138 KV,CT 1,71856721,AE,SHERMAN,13.8 KV,CT 1
34887921,DOM,EDGECOMB,230 KV,NUG,71856777,DOM,EDGECOMB,13.8 KV,NUG
5021366,APS,MCCAIN,138 KV,T2,71856499,APS,MCCAIN,230 KV,T3 LOAD
63381379,COMED,6102,138 KV,BROOKFWF,71856725,COMED,6102,138 KV,GRIDGEWF
57967655,PN,ARNOLDRE,115 KV,LOKOUTWF,71856689,PN,BIGBY,25 KV,LOKOUTWF
41935471,PN,ROCKWOOD,115 KV,CASSELWF,71856695,PN,LICKRUN,25 KV,CASSELWF
